"TEP_ID","TEP_Area","TEP_NAME","TEP_Village","TEP_Address","TEP_Phone","TEP_God","TEP_Class","TEP_BuildTime","TEP_ReBuildTime","TEP_FestivalDate","twd97X","twd97Y","wgs84aX","wgs84aY"
"0A9275A7-65E7-400D-841C-3A484739C0C1","鶯歌區","三湖宮","","新北市鶯歌區三界公坑3號","26705210","三官大帝","道教","民前100","民國73年","2014-09-09 00:00:00.0","285626.18","2762568.88","121.35285883093","24.9706125906299"
"44BFBB76-34EA-48DB-BD24-3A5780384370","石碇區","慈蓮苑","豐田里","新北市石碇區豐田里華梵路2號","26631505","釋迦牟尼佛","佛教","民國83","0","2015-01-01 00:00:00.0","319827.24","2763473.73","121.691633626576","24.977593263582"
"24A4E841-A53B-4D28-A694-3A9959CF3E65","石碇區","文山寺","隆盛里","新北市石碇區隆盛里新興坑8鄰22號之3","26631195","釋迦牟尼佛","佛教","民國50","民國71年3月1日","null","315639.6","2768393.78","121.650391329755","25.0221974634897"
"671E67AB-2654-46BE-A29D-3AFEC0515FF0","新店區","屈尺福德宮","","新北市新店區屈尺路161之3號","26668019","福德正神","道教","民國12","民國87年","2015-02-02 00:00:00.0","304793.23","2757372.16","121.542487483518","24.9231254472656"
"671E67AB-2654-46BE-A29D-3AFEC0515FF0","新店區","屈尺福德宮","","新北市新店區屈尺路161之3號","26668019","福德正神","道教","民國12","民國87年","2015-08-18 00:00:00.0","304793.23","2757372.16","121.542487483518","24.9231254472656"
"9280FDCB-85FF-4E6A-9DB6-3B979103A3B4","汐止區","虎形山福德宮","","新北市汐止區招商街1號","26435405","福德正神","道教","民國35","民國56年","2015-02-02 00:00:00.0","317131.72","2773663.97","121.665431931069","25.0697098149074"
"9280FDCB-85FF-4E6A-9DB6-3B979103A3B4","汐止區","虎形山福德宮","","新北市汐止區招商街1號","26435405","福德正神","道教","民國35","民國56年","2015-03-23 00:00:00.0","317131.72","2773663.97","121.665431931069","25.0697098149074"
"9280FDCB-85FF-4E6A-9DB6-3B979103A3B4","汐止區","虎形山福德宮","","新北市汐止區招商街1號","26435405","福德正神","道教","民國35","民國56年","2015-07-03 00:00:00.0","317131.72","2773663.97","121.665431931069","25.0697098149074"
"4F1D8B2D-0319-43F1-AE13-3BF24DE5E1BC","坪林區","福安宮","上德里","新北市坪林區上德里大粗坑8號旁","26656946","福德正神","道教","民國86","","null","323210.98","2760184.03","121.724973231269","24.947735355619"
"644670D1-2A0F-4911-8613-3C05D8B36E74","三峽區","南天行政世界道場","","新北市三峽區建安140之2號","26681073","關聖帝君","道教","民國83","","2017-01-01 00:00:00.0","296827.91","2756326.69","121.4635926729","24.9139528381186"
"644670D1-2A0F-4911-8613-3C05D8B36E74","三峽區","南天行政世界道場","","新北市三峽區建安140之2號","26681073","關聖帝君","道教","民國83","","2017-01-07 00:00:00.0","296827.91","2756326.69","121.4635926729","24.9139528381186"
"644670D1-2A0F-4911-8613-3C05D8B36E74","三峽區","南天行政世界道場","","新北市三峽區建安140之2號","26681073","關聖帝君","道教","民國83","","2017-03-01 00:00:00.0","296827.91","2756326.69","121.4635926729","24.9139528381186"
"644670D1-2A0F-4911-8613-3C05D8B36E74","三峽區","南天行政世界道場","","新北市三峽區建安140之2號","26681073","關聖帝君","道教","民國83","","2017-06-20 00:00:00.0","296827.91","2756326.69","121.4635926729","24.9139528381186"
"644670D1-2A0F-4911-8613-3C05D8B36E74","三峽區","南天行政世界道場","","新北市三峽區建安140之2號","26681073","關聖帝君","道教","民國83","","2017-07-20 00:00:00.0","296827.91","2756326.69","121.4635926729","24.9139528381186"
"644670D1-2A0F-4911-8613-3C05D8B36E74","三峽區","南天行政世界道場","","新北市三峽區建安140之2號","26681073","關聖帝君","道教","民國83","","2017-10-16 00:00:00.0","296827.91","2756326.69","121.4635926729","24.9139528381186"
"5D76E045-3D7F-4432-8BC5-3C0A526289BF","三重區","三重信安宮","","新北市三重區重陽路四段126巷1-1號","29866011","姜太公","道教","民國70","民國88年","2015-07-15 00:00:00.0","299662.9","2773751.56","121.492284291072","25.0711756871001"
"5D76E045-3D7F-4432-8BC5-3C0A526289BF","三重區","三重信安宮","","新北市三重區重陽路四段126巷1-1號","29866011","姜太公","道教","民國70","民國88年","2015-10-10 00:00:00.0","299662.9","2773751.56","121.492284291072","25.0711756871001"
"9986BC7C-0C31-478F-8BA8-3C27C9642AF5","五股區","上清宮","","新北市五股區成泰路四段43之1號","0921155396","天上聖母","道教","民國74","0","2015-03-23 00:00:00.0","295926.34","2778061.91","121.455390483607","25.1102076486888"
"C5225EF1-A526-499F-8C88-3C5AD179AFE0","八里區","西龍巖廟","","新北市八里區大堀湖22號","26103422","觀世音菩薩","佛教","民前44","民國90年","2014-02-19 00:00:00.0","292649.45","2782473.39","121.423035857357","25.1501306666743"
