name,addr
永安藥局,台北市文德路210巷30弄48號
永佳安藥局,台北市四平街48號
永明大藥局,台北市興隆路一段297號
永直藥局,台北市北安路595巷2弄6號
永原大藥局,台北市興隆路三段166號
永康大藥局,台北市桂林路49號
永康藥局,台北市麗水街6之2號
永源大藥局,台北市興隆路3段302號
永誠藥局,台北市忠孝東路4段216巷25之1號
永興藥局,台北市汀州路一段92巷28號
汀州健康人生藥局,台北市汀州路三段211號
玉山藥局,台北市光明路145號
生光藥局,台北市忠孝東路三段248巷2號
生百藥局,台北市臨江街124號
生活大藥局,台北市貴陽街二段124號
生活藥局,台北市光明路213號
田倉藥局,台北市士東路124號
石川藥師藥局,台北市忠義街70號
石牌大眾藥局,台北市致遠一路二段7號
石牌日春藥局,台北市自強街5巷107號
石牌健康人生藥局,台北市石牌路二段187號
石牌藥局,台北市石牌路一段49號
禾康藥局,台北市內湖路一段296號
立大藥局,台北市吉林路144巷14號
立生藥局,台北市延平北路三段61號
立昌藥局,台北市萬大路486巷59弄38號
立信藥局,台北市松山路403號
立康大藥局,台北市八德路四段2之1號
立圓藥局,台北市民生東路五段148之1號
立赫健保藥局,台北市新生南路一段16之2號
丞良藥局,台北市南昌路一段78號
光成藥局,台北市光復南路457號
光華藥局,台北市華西街19之5號
光榮藥局,台北市社中街118號
全民藥局,台北市廈門街87號
全家藥粧藥局,台北市光明路166之2號
全銨藥局,台北市木新路三段349號
合生藥局,台北市南京東路五段123巷45號
合泰大藥局,台北市衡陽路20號
吉安藥局,台北市廣州街182號
吉成藥局,台北市泰順街7號
吉利春天生活藥局,台北市吉利街120號
吉星藥局,台北市襄陽路19號
吉登藥局,台北市永吉路282號
名山藥局,台北市東陽街475號
名祥藥局,台北市龍江路166號
名章藥局,台北市興安街51之5號
好安心藥局,台北市和平東路二段98之2號
好康藥局,台北市莊敬路414號
好視多藥局,台北市萬大路285號
宇康藥局,台北市羅斯福路五段218巷7號
安心藥局,台北市永吉路30巷148弄4之1號
安世藥局,台北市南京東路四段133巷5弄9號
安安藥局,台北市康寧路1段42號
安佑藥局,台北市吳興街247號
安和藥局,台北市安和路一段102巷3 號
安居藥局,台北市安居街19號
安奕藥局,台北市萬大路63號
安郁藥局,台北市八德路三段12巷51弄16號
安悅藥局,台北市吉林路189號
安泰藥師藥局,台北市延平北路六段83號
安康藥局,台北市安康路482號
安聖藥局,台北市西園路二段256號
安誠貴陽藥局,台北市貴陽街二段148號
安誠藥局,台北市景華街124之1號
安寧藥局,台北市華齡街2巷5號
安藤健保調劑藥局,台北市南昌路一段130號
成恩藥局,台北市成福路23號
早安元氣藥局,台北市成功路4段53號
早安藥局,台北市建國南路二段151巷42號
旭志藥局,台北市內湖路三段97號
旭村藥局,台北市興華路112號
旭豐藥局,台北市昌吉街96號
