name,addr
德川中西藥局,台北市八德路四段96號
德安藥局,台北市八德路三段195號
德行春天生活藥局,台北市德行東路76號
德行盛康藥局,台北市德行東路206之1號
德昇藥局,台北市裕民二路20號
德芳藥局,台北市民生西路91號
德恩藥師藥局,台北市八德路二段378號
德康大藥局,台北市松山路541巷21號
德惠藥局,台北市德惠街122號
德葳藥局,台北市延平北路二段211號
德鴻藥局,台北市玉成街168號
德靈藥局,台北市富錦街548號
慧生藥局,台北市松山路310號
慶安藥局,台北市忠孝東路二段20號
慶昌藥局,台北市延吉街29號
慶豐好藥局,台北市興隆路四段135號
樂活苑藥局,台北市北安路546號
樂活藥師藥局,台北市內湖路2段368號
樂康藥妝藥局,台北市文德路117號
樂齡藥師藥局,台北市內湖路三段103號
褔海大藥局,台北市大同街69號
誼安藥局,台北市通河街42號
黎明藥局,台北市尊賢街253之1號
澴山藥局,台北市環山路一段4號
燕福藥局,台北市羅斯福路三段283巷14弄14號
盧狄聯合藥局,台北市康寧路三段189巷57號
興康源藥局,台北市中山北路1段140巷8號
興雅藥局,台北市松德路128號
親親藥局,台北市玉成街140巷7號
錦州春天生活藥局,台北市錦州街213號
錦西春天生活藥局,台北市錦西街10號
錦康活力藥局,台北市錦州街276號
錫東藥局,台北市萬隆街56號
靜園藥局,台北市和平東路2段118巷57之1號
龍口藥局,台北市艋舺大道120巷35號
龍江藥局,台北市龍江路356巷14號
龍錦藥局,台北市龍江路264號
龍護大藥局,台北市大安路一段224巷7號
優豐藥局,台北市民生東路一段32號
濟仁藥局,台北市濟南路二段22號
濟生中西藥局,台北市崇德街41號
環安藥局,台北市大南路244號
聯合仁愛藥局,台北市大安路一段157巷1之2號
聯合藥局,台北市石牌路一段23號
聯慶大藥局,台北市萬大路306號
鴻恩藥局,台北市中央南路一段129號
鴻盛藥局,台北市慶城街6之1號
鴻濟藥局,台北市永吉路326巷2號
豐仁藥局,台北市寧波西街161號
羅斯福藥局,台北市羅斯福路3段283巷9弄3號
藥本家藥局,台北市中山北路七段14巷26號
關渡松藥局,台北市知行路247號
麗中藥局,台北市福德街217號
麗安藥局,台北市港華街81號
麗亞藥局,台北市雙城街32號
麗恩藥局,台北市林森北路575之5號
麗泰藥局,台北市復興南路2段151巷4號
麗康藥局,台北市同德路51號
麗森藥局,台北市天母西路51號
麗登藥局,台北市文林路261號
麗樺藥師藥局,台北市麗水街3號
寶康大藥局,台北市忠孝東路4段52號
寶德藥局,台北市樂利路105號
寶興大藥局,台北市寶興街119號
馨馨藥局,台北市虎林街82巷19號
儷安藥局,台北市錦西街53巷16號
躍獅大湖藥局,台北市成功路四段339號
躍獅中華藥局,台北市中華路二段484巷8號
躍獅木柵藥局,台北市指南路一段28號
躍獅北安藥局,台北市北安路581號
躍獅永健藥局,台北市木柵路一段177號
躍獅光明藥局,台北市光明路51、53號
躍獅西園藥局,台北市西園路二段260號
躍獅京華藥局,台北市南京東路五段71號
躍獅和樂藥局,台北市樂業街142號
躍獅忠誠藥局,台北市忠義街70號
躍獅東門藥局,台北市金山南路一段108之1號
躍獅東湖藥局,台北市金湖路378號
躍獅松和藥局,台北市八德路四段666之1號
躍獅南門藥局,台北市中華路二段39巷10號
躍獅南寧藥局,台北市南昌路一段81號
躍獅奕新藥局,台北市木新路2段275號
躍獅振榮藥局,台北市石牌路二段165號
躍獅康成藥局,台北市成功路四段61巷11號
躍獅敦和藥局,台北市和平東路三段10號
躍獅景新藥局,台北市羅斯福路六段30號
躍獅新生藥局,台北市和平東路二段20號
躍獅新芳藥局,台北市興隆路三段90號
躍獅雙蓮藥局,台北市涼州街4號
躍獅麗湖藥局,台北市內湖路一段401之1號
躍獅寶湖藥局,台北市民權東路六段123巷28號
